Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
,34.332275391,103.759765625,199.127197266,57.220458984,135.040283203,166.320800781,274.658203125,314.331054688,539.398193359,467.681884766,228.118896484,296.783447266,151.824951172,205.993652344,592.803955078,421.142578125
,32.043457031,89.263916016,170.898437500,14.495849609,74.768066406,106.811523438,218.200683594,232.696533203,451.660156250,372.314453125,148.773193359,193.023681641,65.612792969,134.277343750,521.087646484,348.663330078
,30.517578125,61.035156250,123.596191406,-60.272216797,-23.651123047,9.155273438,126.647949219,106.048583984,318.145751953,232.696533203,25.177001953,38.909912109,-67.901611328,19.836425781,407.409667969,234.985351563
,27.465820313,9.918212891,43.487548828,-180.053710938,-170.898437500,-137.329101563,-11.444091797,-74.768066406,129.699707031,37.384033203,-149.536132813,-171.661376953,-257.110595703,-144.958496094,241.851806641,71.716308594
,25.939941406,-74.005126953,-80.108642578,-354.003906250,-373.077392578,-337.982177734,-202.941894531,-312.805175781,-114.440917969,-212.860107422,-379.943847656,-436.401367188,-502.014160156,-366.210937500,18.310546875,-145.721435547
,23.651123047,-202.941894531,-258.636474609,-582.122802734,-627.136230469,-592.041015625,-452.423095703,-598.144531250,-406.646728516,-505.828857422,-659.179687500,-737.762451172,-790.405273438,-638.580322266,-256.347656250,-411.987304688
,19.073486328,-384.521484375,-492.095947266,-856.018066406,-916.290283203,-885.009765625,-744.628906250,-909.423828125,-725.555419922,-820.922851563,-965.118408203,-1049.041748047,-1103.210449219,-941.467285156,-567.626953125,-710.296630859
,16.784667969,-615.692138672,-769.042968750,-1158.142089844,-1217.651367188,-1193.237304688,-1059.722900391,-1217.651367188,-1043.701171875,-1126.098632813,-1271.057128906,-1338.958740234,-1409.912109375,-1249.694824219,-890.350341797,-1015.472412109
,13.732910156,-886.535644531,-1072.692871094,-1461.791992188,-1502.227783203,-1488.494873047,-1367.187500000,-1488.494873047,-1325.225830078,-1386.260986328,-1542.663574219,-1575.469970703,-1677.703857422,-1529.693603516,-1190.185546875,-1293.945312500
,11.444091797,-1178.741455078,-1377.868652344,-1734.924316406,-1739.501953125,-1737.976074219,-1631.164550781,-1692.962646484,-1541.137695313,-1571.655273438,-1747.131347656,-1730.346679688,-1876.068115234,-1747.894287109,-1436.614990234,-1516.723632813
,11.444091797,-1467.132568359,-1651.000976563,-1947.784423828,-1904.296875000,-1913.452148438,-1822.662353516,-1805.877685547,-1667.022705078,-1657.867431641,-1861.572265625,-1783.752441406,-1979.827880859,-1878.356933594,-1601.409912109,-1654.815673828
,10.681152344,-1727.294921875,-1867.675781250,-2076.721191406,-1980.590820313,-1992.034912109,-1917.266845703,-1814.270019531,-1686.859130859,-1637.268066406,-1868.438720703,-1725.769042969,-1975.250244141,-1903.533935547,-1664.733886719,-1689.147949219
,9.918212891,-1937.103271484,-2004.241943359,-2106.475830078,-1959.991455078,-1963.043212891,-1904.296875000,-1713.562011719,-1597.595214844,-1504.516601563,-1762.390136719,-1554.870605469,-1855.468750000,-1815.032958984,-1618.957519531,-1612.091064453
,9.155273438,-2078.247070313,-2045.440673828,-2034.759521484,-1844.787597656,-1826.477050781,-1780.700683594,-1504.516601563,-1399.230957031,-1264.953613281,-1547.241210938,-1277.160644531,-1625.061035156,-1613.616943359,-1460.266113281,-1421.356201172
,7.629394531,-2142.333984375,-1990.509033203,-1866.149902344,-1640.319824219,-1583.099365234,-1547.241210938,-1194.763183594,-1094.055175781,-926.208496094,-1226.806640625,-901.031494141,-1290.130615234,-1304.626464844,-1193.237304688,-1123.046875000
,6.866455078,-2128.601074219,-1840.209960938,-1606.750488281,-1354.217529297,-1245.117187500,-1213.073730469,-797.271728516,-697.326660156,-492.095947266,-814.819335938,-442.504882813,-864.410400391,-900.268554688,-826.263427734,-729.370117188
,6.103515625,-2037.811279297,-1602.935791016,-1271.057128906,-998.687744141,-827.026367188,-792.694091797,-326.538085938,-225.067138672,18.310546875,-325.775146484,82.397460938,-364.685058594,-415.802001953,-372.314453125,-257.110595703
,6.103515625,-1876.831054688,-1289.367675781,-871.276855469,-589.752197266,-347.137451172,-299.835205078,198.364257813,303.649902344,587.463378906,222.015380859,656.127929688,189.971923828,128.936767578,148.773193359,276.184082031
,6.866455078,-1656.341552734,-912.475585938,-428.009033203,-146.484375000,173.187255859,243.377685547,760.650634766,867.462158203,1192.474365234,805.664062500,1255.035400391,776.672363281,714.111328125,720.214843750,853.729248047
,6.103515625,-1387.023925781,-489.807128906,38.146972656,307.464599609,716.400146484,817.108154297,1347.351074219,1449.584960938,1805.877685547,1407.623291016,1863.098144531,1374.816894531,1316.833496094,1320.648193359,1453.399658203
,6.866455078,-1084.136962891,-36.621093750,508.117675781,757.598876953,1265.716552734,1406.860351563,1937.103271484,2030.181884766,2405.548095703,2002.716064453,2455.139160156,1965.332031250,1916.503906250,1930.999755859,2058.410644531
,6.866455078,-759.887695313,427.246093750,963.592529297,1184.844970703,1806.640625000,1988.983154297,2510.070800781,2590.179443359,2970.886230469,2571.868896484,3011.322021484,2526.092529297,2493.286132813,2531.433105469,2646.636962891
,6.103515625,-428.009033203,885.772705078,1391.601562500,1573.181152344,2317.047119141,2545.928955078,3044.891357422,3113.555908203,3479.003906250,3099.060058594,3509.521484375,3041.076660156,3025.817871094,3100.585937500,3197.479248047
,7.629394531,-93.841552734,1325.225830078,1777.648925781,1913.452148438,2780.914306641,3058.624267578,3519.439697266,3582.000732422,3916.168212891,3562.164306641,3931.427001953,3492.736816406,3496.551513672,3617.095947266,3691.864013672
,8.392333984,229.644775391,1731.109619141,2116.394042969,2197.265625000,3182.220458984,3508.758544922,3922.271728516,3983.306884766,4277.038574219,3952.789306641,4270.935058594,3868.865966797,3888.702392578,4064.941406250,4115.295410156
,9.918212891,534.820556641,2095.031738281,2401.733398438,2430.725097656,3511.047363281,3888.702392578,4249.572753906,4313.659667969,4562.377929688,4267.883300781,4530.334472656,4170.227050781,4202.270507813,4438.018798828,4461.669921875
,12.207031250,820.159912109,2413.177490234,2638.244628906,2618.408203125,3771.972656250,4195.404052734,4505.920410156,4573.059082031,4785.919189453,4510.498046875,4721.069335938,4405.212402344,4441.070556641,4740.142822266,4734.039306641
,12.207031250,1078.796386719,2688.598632813,2835.845947266,2775.573730469,3974.151611328,4437.255859375,4707.336425781,4772.949218750,4964.447021484,4698.181152344,4867.553710938,4590.606689453,4621.887207031,4985.046386719,4948.425292969
