Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
,14.495849609,-775.146484375,353.240966797,1268.768310547,1258.850097656,1264.190673828,1757.812500000,739.288330078,1495.361328125,1834.869384766,1214.599609375,1297.760009766,-975.799560547
,15.258789063,-258.636474609,1026.916503906,2005.767822266,1988.220214844,1980.590820313,2429.199218750,1024.627685547,2209.472656250,2527.618408203,1922.607421875,1995.086669922,-524.139404297
,14.495849609,313.568115234,1721.954345703,2748.107910156,2729.797363281,2718.353271484,3121.185302734,1373.291015625,2934.265136719,3235.626220703,2650.451660156,2716.827392578,-33.569335938
,14.495849609,914.764404297,2404.785156250,3459.930419922,3450.012207031,3440.856933594,3798.675537109,1766.967773438,3634.643554688,3921.508789063,3364.562988281,3429.412841797,471.496582031
,14.495849609,1517.486572266,3043.365478516,4109.954833984,4113.769531250,4115.295410156,4424.285888672,2182.769775391,4277.801513672,4548.645019531,4032.135009766,4096.984863281,971.984863281
,15.258789063,2091.979980469,3612.518310547,4679.107666016,4699.707031250,4712.677001953,4968.261718750,2602.386474609,4837.036132813,5088.806152344,4622.650146484,4688.262939453,1445.770263672
,17.547607422,2616.119384766,4100.036621094,5152.130126953,5192.565917969,5218.505859375,5413.818359375,3012.084960938,5300.140380859,5524.444580078,5122.375488281,5187.988281250,1885.223388672
,19.073486328,3076.934814453,4492.187500000,5519.104003906,5577.850341797,5621.337890625,5751.037597656,3395.843505859,5655.670166016,5846.405029297,5516.815185547,5580.902099609,2284.240722656
,20.599365234,3463.745117188,4783.630371094,5782.318115234,5859.375000000,5916.595458984,5983.734130859,3747.558593750,5907.440185547,6059.265136719,5803.680419922,5867.004394531,2635.192871094
,22.125244141,3771.972656250,4981.231689453,5950.927734375,6044.769287109,6117.248535156,6130.981445313,4062.652587891,6074.523925781,6182.861328125,5997.467041016,6061.553955078,2942.657470703
