Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 150 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 350 탎","Tr 10 : 100 mA : 450 탎","Tr 11 : 100 mA : 450 탎","Tr 12 : 100 mA : 450 탎"
,24.414062500,-385.284423828,1818.084716797,2485.656738281,2116.394042969,2964.782714844,3501.892089844,4253.387451172,4483.032226563,4098.510742188,3923.034667969,3190.612792969
,24.414062500,-309.753417969,1705.932617188,2330.017089844,1937.103271484,2902.984619141,3489.685058594,4135.131835938,4377.746582031,4090.881347656,3942.108154297,3175.354003906
,25.177001953,-228.118896484,1548.767089844,2151.489257813,1712.799072266,2795.410156250,3435.516357422,3931.427001953,4158.782958984,3971.099853516,3844.451904297,3097.534179688
,25.177001953,-142.669677734,1366.424560547,1972.198486328,1469.421386719,2651.977539063,3352.355957031,3634.643554688,3826.904296875,3739.929199219,3632.354736328,2964.782714844
,22.888183594,-51.116943359,1189.422607422,1806.640625000,1225.280761719,2487.945556641,3257.751464844,3244.781494141,3385.162353516,3401.184082031,3318.023681641,2778.625488281
,22.125244141,45.013427734,1042.175292969,1660.156250000,994.873046875,2301.025390625,3146.362304688,2772.521972656,2847.290039063,2963.256835938,2909.851074219,2543.640136719
,21.362304688,148.773193359,942.230224609,1522.827148438,788.879394531,2088.928222656,3015.136718750,2233.123779297,2234.649658203,2440.643310547,2420.806884766,2252.960205078
,21.362304688,263.977050781,892.639160156,1380.157470703,595.855712891,1853.179931641,2860.260009766,1657.104492188,1562.500000000,1858.520507813,1871.490478516,1920.318603516
,23.651123047,382.995605469,880.432128906,1216.125488281,402.069091797,1585.388183594,2674.865722656,1071.929931641,860.595703125,1232.147216797,1281.738281250,1562.500000000
,25.939941406,501.251220703,896.453857422,1031.494140625,195.312500000,1291.656494141,2468.109130859,496.673583984,137.329101563,583.648681641,676.727294922,1196.289062500
,26.702880859,611.877441406,923.919677734,839.233398438,-25.939941406,978.088378906,2240.753173828,-54.168701172,-587.463378906,-75.531005859,74.768066406,852.203369141
,28.228759766,705.718994141,954.437255859,664.520263672,-239.562988281,653.076171875,1990.509033203,-555.419921875,-1272.583007813,-730.133056641,-508.880615234,541.687011719
,28.228759766,784.301757813,990.295410156,527.954101563,-413.513183594,329.589843750,1720.428466797,-968.933105469,-1869.201660156,-1344.299316406,-1057.434082031,281.524658203
,27.465820313,852.203369141,1020.050048828,443.267822266,-523.376464844,26.702880859,1433.563232422,-1241.302490234,-2297.210693359,-1865.386962891,-1536.560058594,90.026855469
,26.702880859,914.001464844,1043.701171875,421.142578125,-553.894042969,-231.933593750,1145.935058594,-1335.144042969,-2503.967285156,-2227.020263672,-1885.223388672,-18.310546875
,25.177001953,977.325439453,1065.063476563,445.556640625,-510.406494141,-430.297851563,873.565673828,-1233.673095703,-2462.005615234,-2384.948730469,-2060.699462891,-40.435791016
,25.939941406,1040.649414063,1075.744628906,507.354736328,-412.750244141,-540.924072266,634.002685547,-951.385498047,-2171.325683594,-2314.758300781,-2030.181884766,10.681152344
,27.465820313,1098.632812500,1092.529296875,594.329833984,-261.688232422,-549.316406250,447.082519531,-500.488281250,-1645.660400391,-2022.552490234,-1785.278320313,126.647949219
,29.754638672,1146.697998047,1127.624511719,674.438476563,-76.293945313,-448.608398438,329.589843750,99.182128906,-914.764404297,-1520.538330078,-1350.402832031,292.205810547
,32.806396484,1181.793212891,1181.793212891,743.103027344,135.803222656,-228.118896484,305.175781250,831.604003906,-8.392333984,-824.737548828,-734.710693359,504.302978516
,34.332275391,1202.392578125,1256.561279297,797.271728516,369.262695313,98.419189453,398.254394531,1670.074462891,1033.020019531,38.146972656,38.909912109,779.724121094
,35.858154297,1208.496093750,1325.988769531,847.625732422,602.722167969,529.479980469,621.032714844,2556.610107422,2135.467529297,1028.442382813,940.704345703,1112.365722656
,36.621093750,1202.392578125,1368.713378906,928.497314453,837.707519531,1039.886474609,975.799560547,3427.886962891,3220.367431641,2078.247070313,1926.422119141,1499.938964844
,36.621093750,1186.370849609,1378.631591797,1078.796386719,1084.136962891,1597.595214844,1431.274414063,4206.848144531,4211.425781250,3105.926513672,2919.006347656,1914.978027344
,37.384033203,1158.142089844,1365.661621094,1324.462890625,1362.609863281,2172.851562500,1940.155029297,4839.324951172,5041.503906250,4040.527343750,3841.400146484,2323.150634766
,38.146972656,1122.283935547,1357.269287109,1672.363281250,1696.777343750,2725.982666016,2466.583251953,5290.222167969,5674.743652344,4819.488525391,4631.042480469,2708.435058594
,38.146972656,1077.270507813,1377.105712891,2120.971679688,2084.350585938,3243.255615234,2970.886230469,5558.013916016,6095.886230469,5402.374267578,5235.290527344,3052.520751953
,38.909912109,1026.153564453,1445.770263672,2637.481689453,2510.833740234,3718.566894531,3443.908691406,5668.640136719,6309.509277344,5779.266357422,5644.226074219,3356.170654297
,38.146972656,971.221923828,1560.974121094,3192.138671875,2943.420410156,4148.864746094,3887.176513672,5650.329589844,6329.345703125,5950.164794922,5864.715576172,3627.777099609
,37.384033203,913.238525391,1719.665527344,3739.166259766,3344.726562500,4531.097412109,4280.090332031,5528.259277344,6170.654296875,5926.513671875,5909.729003906,3862.762451172
,36.621093750,856.781005859,1909.637451172,4222.869873047,3685.760498047,4837.799072266,4613.494873047,5313.110351563,5850.982666016,5734.252929688,5804.443359375,4053.497314453
,35.858154297,801.086425781,2100.372314453,4580.688476563,3936.767578125,5029.296875000,4856.109619141,5001.831054688,5377.960205078,5386.352539063,5558.776855469,4174.041748047
,35.858154297,745.391845703,2265.930175781,4758.453369141,4069.519042969,5075.073242188,4974.365234375,4592.132568359,4778.289794922,4898.071289063,5184.936523438,4194.641113281
