Test Name,H-Reflex Inc-Dec
Test Item,Left M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 32 mA","Tr 2 : 55 mA","Tr 3 : 55 mA","Tr 4 : 63 mA","Tr 5 : 63 mA","Tr 6 : 63 mA","Tr 7 : 63 mA","Tr 8 : 73 mA","Tr 9 : 81 mA","Tr 10 : 81 mA","Tr 11 : 91 mA","Tr 12 : 91 mA","Tr 13 : 95 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),9047.241210938,3730.468750000,3416.442871094,9873.657226563,3683.776855469,9770.202636719,8302.307128906,4638.671875000,5235.595703125,2980.346679688,9470.214843750,3418.884277344,9561.157226563
,-384.826660156,-709.838867188,-730.895996094,-526.733398438,-80.566406250,581.054687500,520.629882813,1141.052246094,1116.027832031,1112.976074219,2164.306640625,1950.378417969,2083.129882813
,-368.347167969,-692.443847656,-694.885253906,-262.451171875,282.592773438,948.791503906,895.080566406,1614.990234375,1639.099121094,1652.526855469,2630.920410156,2435.302734375,2545.471191406
,-353.088378906,-674.133300781,-659.790039063,-8.544921875,632.629394531,1291.198730469,1243.286132813,2048.950195313,2123.718261719,2149.353027344,3037.719726563,2861.328125000,2955.322265625
,-339.050292969,-655.517578125,-625.000000000,230.712890625,964.660644531,1599.121093750,1556.396484375,2432.861328125,2560.729980469,2590.637207031,3383.483886719,3225.097656250,3309.631347656
,-325.927734375,-635.681152344,-591.430664063,454.101562500,1270.751953125,1866.455078125,1827.087402344,2755.737304688,2940.673828125,2972.717285156,3668.823242188,3528.747558594,3609.924316406
,-314.331054688,-615.539550781,-560.607910156,657.958984375,1545.104980469,2091.674804688,2053.527832031,3020.019531250,3261.108398438,3294.677734375,3900.451660156,3775.634765625,3859.252929688
,-304.260253906,-594.482421875,-533.447265625,838.623046875,1782.226562500,2279.357910156,2235.717773438,3233.642578125,3528.137207031,3560.485839844,4085.388183594,3972.473144531,4064.025878906
,-294.189453125,-574.035644531,-511.169433594,995.788574219,1980.895996094,2436.523437500,2383.117675781,3406.982421875,3750.000000000,3785.705566406,4230.346679688,4129.028320313,4230.651855469
,-285.339355469,-555.114746094,-494.079589844,1130.676269531,2145.996093750,2568.359375000,2505.493164063,3553.161621094,3939.208984375,3975.830078125,4345.397949219,4254.150390625,4366.455078125
,-277.404785156,-537.719726563,-479.431152344,1246.032714844,2283.630371094,2677.917480469,2606.811523438,3675.842285156,4102.783203125,4136.657714844,4437.866210938,4356.689453125,4478.149414063
