Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 28 mA : 200 탎","Tr 3 : 67 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 300 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 400 탎","Tr 13 : 100 mA : 500 탎"
,34.332275391,512.695312500,1219.177246094,1531.219482422,-92.315673828,730.133056641,867.462158203,624.084472656,-1016.998291016,-765.991210938,-1076.507568359,-1325.225830078,-1926.422119141
,34.332275391,581.359863281,1940.917968750,1922.607421875,368.499755859,890.350341797,1085.662841797,1219.177246094,-795.745849609,-516.510009766,-813.293457031,-1045.989990234,-1697.540283203
,33.569335938,647.735595703,2685.546875000,2291.870117188,912.475585938,1047.515869141,1286.315917969,1828.765869141,-528.717041016,-254.821777344,-531.768798828,-740.814208984,-1418.304443359
,32.043457031,711.059570313,3409.576416016,2633.666992188,1511.383056641,1215.362548828,1486.206054688,2414.703369141,-202.178955078,28.991699219,-233.459472656,-402.069091797,-1076.507568359
,30.517578125,769.042968750,4080.200195313,2947.235107422,2119.445800781,1409.149169922,1701.354980469,2947.998046875,180.816650391,350.189208984,89.263916016,-25.177001953,-673.675537109
,28.991699219,819.396972656,4668.426513672,3221.130371094,2695.465087891,1636.505126953,1934.814453125,3400.421142578,602.722167969,711.059570313,444.030761719,383.758544922,-222.778320313
,28.228759766,862.884521484,5140.686035156,3434.753417969,3204.345703125,1895.904541016,2180.480957031,3745.269775391,1036.071777344,1089.477539063,816.345214844,808.715820313,254.058837891
,27.465820313,898.742675781,5461.883544922,3563.690185547,3618.621826172,2173.614501953,2416.229248047,3952.026367188,1452.636718750,1458.740234375,1186.370849609,1229.095458984,727.081298828
,25.939941406,924.682617188,5600.738525391,3594.207763672,3920.745849609,2448.272705078,2628.326416016,3992.462158203,1838.684082031,1789.855957031,1531.219482422,1621.246337891,1176.452636719
,24.414062500,948.333740234,5547.332763672,3543.090820313,4081.726074219,2706.146240234,2817.535400391,3870.391845703,2181.243896484,2066.802978516,1835.632324219,1970.672607422,1596.069335938
,22.888183594,968.170166016,5323.791503906,3434.753417969,4083.251953125,2938.079833984,2983.856201172,3623.199462891,2477.264404297,2297.973632813,2095.031738281,2272.033691406,1977.539062500
,20.599365234,988.769531250,4973.602294922,3305.816650391,3917.694091797,3140.258789063,3137.207031250,3300.476074219,2728.271484375,2492.523193359,2313.995361328,2520.751953125,2322.387695313
,20.599365234,1013.183593750,4553.985595703,3186.035156250,3601.837158203,3321.838378906,3277.587890625,2968.597412109,2928.924560547,2666.473388672,2503.204345703,2721.405029297,2627.563476563
