Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,1426.696777344,1708.221435547,936.126708984,622.558593750,336.456298828,311.279296875,165.557861328,199.127197266,250.244140625,288.391113281,387.573242188,321.197509766,389.099121094,279.235839844,296.783447266,320.434570313,330.352783203,308.227539063
,1742.553710938,2123.260498047,1207.733154297,815.582275391,407.409667969,366.973876953,169.372558594,220.489501953,293.731689453,350.952148438,492.858886719,357.818603516,485.992431641,340.270996094,339.508056641,373.077392578,385.284423828,351.715087891
,2130.889892578,2594.757080078,1549.530029297,1077.270507813,509.643554688,445.556640625,176.239013672,251.007080078,350.189208984,444.030761719,643.157958984,407.409667969,625.610351563,432.586669922,393.676757813,440.979003906,464.630126953,413.513183594
,2584.075927734,3105.163574219,1956.176757813,1408.386230469,650.787353516,550.079345703,184.631347656,295.257568359,420.379638672,570.678710938,838.470458984,469.970703125,816.345214844,562.286376953,458.526611328,525.665283203,575.256347656,501.251220703
,3083.801269531,3641.510009766,2415.466308594,1798.248291016,836.181640625,682.067871094,192.260742188,354.766845703,504.302978516,730.133056641,1074.981689453,544.738769531,1055.145263672,735.473632813,536.346435547,625.610351563,717.163085938,619.506835938
,3617.095947266,4187.774658203,2912.902832031,2232.360839844,1064.300537109,835.418701172,200.653076172,426.483154297,598.907470703,914.001464844,1344.299316406,631.713867188,1335.906982422,949.096679688,626.373291016,739.288330078,885.772705078,764.465332031
,4165.649414063,4725.646972656,3438.568115234,2698.516845703,1327.514648438,1003.265380859,208.282470703,509.643554688,702.667236328,1118.469238281,1633.453369141,728.607177734,1649.475097656,1198.577880859,724.792480469,863.647460938,1076.507568359,933.074951172
,4712.677001953,5243.682861328,3971.099853516,3182.983398438,1616.668701172,1177.978515625,214.385986328,600.433349609,811.767578125,1334.381103516,1932.525634766,833.892822266,1982.116699219,1473.999023438,832.366943359,994.873046875,1284.790039063,1119.232177734
,5244.445800781,5729.675292969,4497.528076172,3671.264648438,1921.081542969,1354.980468750,221.252441406,695.800781250,923.156738281,1557.159423828,2229.309082031,945.281982422,2324.676513672,1764.678955078,945.281982422,1130.676269531,1505.279541016,1316.070556641
,5747.222900391,6176.757812500,5004.882812500,4154.968261719,2230.072021484,1528.167724609,227.355957031,794.982910156,1033.782958984,1779.174804688,2510.833740234,1058.197021484,2664.947509766,2059.173583984,1056.671142578,1268.768310547,1731.872558594,1516.723632813
,6212.615966797,6580.352783203,5479.431152344,4619.598388672,2533.721923828,1694.488525391,231.933593750,893.402099609,1138.305664063,1989.746093750,2774.047851563,1169.586181641,2993.011474609,2345.275878906,1165.008544922,1399.993896484,1955.413818359,1713.562011719
,6635.284423828,6941.223144531,5918.121337891,5055.236816406,2821.350097656,1849.365234375,234.985351563,988.006591797,1234.436035156,2187.347412109,3012.847900391,1272.583007813,3301.239013672,2616.119384766,1264.953613281,1522.827148438,2165.985107422,1899.719238281
,7012.939453125,7260.131835938,6317.138671875,5455.017089844,3088.378906250,1987.457275391,235.748291016,1074.981689453,1320.648193359,2366.638183594,3227.996826172,1366.424560547,3582.000732422,2864.837646484,1354.217529297,1635.742187500,2359.008789063,2071.380615234
,7347.869873047,7538.604736328,6674.194335938,5815.887451172,3332.519531250,2108.764648438,235.748291016,1152.038574219,1397.705078125,2527.618408203,3419.494628906,1450.347900391,3834.533691406,3089.904785156,1434.326171875,1738.739013672,2532.196044922,2226.257324219
,7641.601562500,7779.693603516,6989.288330078,6138.610839844,3551.483154297,2211.761474609,234.985351563,1218.414306641,1464.843750000,2669.525146484,3585.052490234,1525.115966797,4055.786132813,3289.794921875,1504.516601563,1832.580566406,2684.783935547,2363.586425781
,7896.423339844,7987.976074219,7262.420654297,6423.950195313,3745.269775391,2299.499511719,234.985351563,1274.108886719,1523.590087891,2791.595458984,3728.485107422,1591.491699219,4248.809814453,3463.745117188,1565.551757813,1917.266845703,2819.824218750,2484.893798828
,8116.912841797,8165.740966797,7497.406005859,6675.720214844,3916.168212891,2374.267578125,235.748291016,1320.648193359,1573.181152344,2893.066406250,3849.029541016,1649.475097656,4415.893554688,3614.044189453,1617.431640625,1990.509033203,2937.316894531,2589.416503906
,8305.358886719,8320.617675781,7697.296142578,6893.157958984,4063.415527344,2437.591552734,235.748291016,1358.032226563,1613.616943359,2976.989746094,3948.974609375,1698.303222656,4558.563232422,3739.929199219,1658.630371094,2050.781250000,3039.550781250,2677.154541016
,8467.864990234,8458.709716797,7868.957519531,7077.789306641,4190.063476563,2490.997314453,234.985351563,1386.260986328,1644.897460938,3047.943115234,4031.372070313,1737.213134766,4680.633544922,3845.977783203,1689.910888672,2099.609375000,3125.000000000,2752.685546875
,8611.297607422,8585.357666016,8018.493652344,7234.191894531,4301.452636719,2536.010742188,233.459472656,1406.860351563,1669.311523438,3106.689453125,4096.984863281,1768.493652344,4782.104492188,3935.241699219,1713.562011719,2138.519287109,3195.190429688,2816.009521484
,8740.234375000,8705.139160156,8150.482177734,7366.943359375,4395.294189453,2573.394775391,231.170654297,1422.119140625,1687.622070313,3154.754638672,4147.338867188,1792.144775391,4864.501953125,4005.432128906,1730.346679688,2170.562744141,3253.173828125,2870.941162109
