Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 200 µs","Tr 2 : 46 mA : 200 µs","Tr 3 : 100 mA : 200 µs","Tr 4 : 100 mA : 300 µs","Tr 5 : 100 mA : 400 µs","Tr 6 : 100 mA : 400 µs"
,19.073486328,-662.994384766,-531.005859375,-507.354736328,-511.932373047,-522.613525391
,17.547607422,-630.950927734,-499.725341797,-482.177734375,-480.651855469,-490.570068359
,16.021728516,-601.196289063,-469.970703125,-456.237792969,-450.134277344,-458.526611328
,15.258789063,-574.493408203,-441.741943359,-430.297851563,-421.142578125,-426.483154297
,13.732910156,-547.027587891,-415.039062500,-404.357910156,-393.676757813,-395.202636719
,13.732910156,-522.613525391,-392.150878906,-376.892089844,-366.973876953,-366.973876953
,15.258789063,-498.199462891,-371.551513672,-351.715087891,-341.033935547,-342.559814453
,17.547607422,-474.548339844,-349.426269531,-327.301025391,-316.619873047,-318.908691406
,20.599365234,-451.660156250,-328.063964844,-302.886962891,-292.205810547,-298.309326172
,21.362304688,-430.297851563,-307.464599609,-280.761718750,-270.080566406,-276.947021484
,20.599365234,-409.698486328,-286.102294922,-258.636474609,-249.481201172,-254.821777344
,19.073486328,-389.099121094,-267.791748047,-238.037109375,-229.644775391,-233.459472656
,17.547607422,-370.025634766,-249.481201172,-218.200683594,-212.097167969,-212.097167969
,17.547607422,-353.240966797,-233.459472656,-198.364257813,-195.312500000,-192.260742188
,19.073486328,-336.456298828,-219.726562500,-180.053710938,-179.290771484,-174.713134766
,19.836425781,-320.434570313,-205.230712891,-160.980224609,-164.031982422,-157.928466797
,21.362304688,-305.175781250,-192.260742188,-142.669677734,-149.536132813,-143.432617188
,21.362304688,-289.154052734,-179.290771484,-125.885009766,-135.040283203,-127.410888672
,22.125244141,-272.369384766,-167.083740234,-109.863281250,-122.070312500,-112.915039063
,22.888183594,-257.110595703,-157.165527344,-96.893310547,-109.863281250,-98.419189453
,24.414062500,-241.088867188,-147.247314453,-86.212158203,-99.945068359,-85.449218750
,25.939941406,-228.118896484,-138.092041016,-76.293945313,-90.789794922,-74.768066406
,27.465820313,-215.911865234,-129.699707031,-68.664550781,-81.634521484,-64.849853516
,28.228759766,-205.993652344,-118.255615234,-58.746337891,-73.242187500,-53.405761719
,28.991699219,-198.364257813,-106.811523438,-48.065185547,-65.612792969,-42.724609375
,29.754638672,-191.497802734,-95.367431641,-37.384033203,-57.983398438,-32.043457031
,30.517578125,-184.631347656,-83.923339844,-26.702880859,-52.642822266,-22.125244141
,31.280517578,-177.764892578,-74.005126953,-17.547607422,-46.539306641,-12.969970703
,32.043457031,-170.135498047,-64.086914063,-10.681152344,-41.198730469,-3.814697266
,32.043457031,-163.269042969,-54.931640625,-4.577636719,-36.621093750,4.577636719
,32.806396484,-154.876708984,-45.776367188,1.525878906,-32.806396484,13.732910156
,31.280517578,-147.247314453,-36.621093750,9.155273438,-31.280517578,22.888183594
,32.043457031,-138.854980469,-28.228759766,16.784667969,-29.754638672,29.754638672
,32.043457031,-128.936767578,-18.310546875,24.414062500,-28.991699219,36.621093750
,32.043457031,-119.018554688,-8.392333984,31.280517578,-28.228759766,42.724609375
,32.043457031,-108.337402344,-0.762939453,37.384033203,-26.702880859,48.828125000
,32.043457031,-96.130371094,8.392333984,42.724609375,-24.414062500,54.931640625
,31.280517578,-85.449218750,17.547607422,46.539306641,-22.125244141,60.272216797
,32.043457031,-73.242187500,24.414062500,49.591064453,-17.547607422,65.612792969
,33.569335938,-61.035156250,33.569335938,52.642822266,-14.495849609,69.427490234
,35.858154297,-47.302246094,40.435791016,56.457519531,-12.207031250,73.242187500
,38.909912109,-31.280517578,47.302246094,60.272216797,-8.392333984,77.056884766
,41.198730469,-14.495849609,55.694580078,64.086914063,-6.103515625,79.345703125
,42.724609375,3.051757813,62.561035156,67.901611328,-2.288818359,82.397460938
,41.961669922,22.125244141,68.664550781,69.427490234,1.525878906,85.449218750
,41.198730469,40.435791016,75.531005859,70.953369141,5.340576172,90.026855469
,41.198730469,60.272216797,80.871582031,72.479248047,9.918212891,94.604492188
