Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 51 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 300 탎","Tr 6 : 100 mA : 300 탎","Tr 7 : 100 mA : 300 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎"
,33.569335938,3559.875488281,2825.927734375,-22.888183594,207.519531250,96.130371094,1618.194580078,-421.142578125,68.664550781,267.791748047
,35.095214844,3453.063964844,2704.620361328,-408.935546875,-237.274169922,-302.124023438,1229.095458984,-630.950927734,-301.361083984,-80.108642578
,35.858154297,3327.178955078,2579.498291016,-686.645507813,-581.359863281,-600.433349609,884.246826172,-756.072998047,-585.937500000,-335.693359375
,35.095214844,3195.953369141,2461.242675781,-853.729248047,-816.345214844,-793.457031250,596.618652344,-802.612304688,-780.487060547,-507.354736328
,35.858154297,3063.964843750,2355.957031250,-916.290283203,-943.756103516,-884.246826172,379.180908203,-779.724121094,-892.639160156,-598.144531250
,35.858154297,2944.946289063,2272.796630859,-887.298583984,-971.221923828,-882.720947266,237.274169922,-696.563720703,-926.971435547,-619.506835938
,35.858154297,2842.712402344,2213.287353516,-785.064697266,-915.527343750,-809.478759766,170.898437500,-569.915771484,-894.165039063,-582.885742188
,35.095214844,2748.107910156,2165.222167969,-636.291503906,-796.508789063,-681.304931641,167.846679688,-412.750244141,-809.478759766,-494.384765625
,34.332275391,2656.555175781,2120.971679688,-460.052490234,-638.580322266,-518.035888672,210.571289063,-238.800048828,-682.067871094,-370.025634766
,32.806396484,2561.950683594,2073.669433594,-269.317626953,-453.948974609,-337.982177734,278.472900391,-67.138671875,-531.005859375,-222.015380859
,31.280517578,2458.953857422,2014.160156250,-81.634521484,-259.399414063,-153.350830078,354.003906250,91.552734375,-369.262695313,-60.272216797
,29.754638672,2346.801757813,1942.443847656,94.604492188,-70.953369141,18.310546875,426.483154297,228.881835938,-212.097167969,96.130371094
,29.754638672,2225.494384766,1856.994628906,248.718261719,101.470947266,170.898437500,486.755371094,331.878662109,-76.293945313,238.800048828
,29.754638672,2085.876464844,1749.420166016,366.210937500,247.192382813,293.731689453,531.005859375,391.387939453,29.754638672,355.529785156
,29.754638672,1927.185058594,1617.431640625,442.504882813,354.766845703,378.417968750,554.656982422,399.780273438,90.026855469,434.875488281
,30.517578125,1741.790771484,1454.162597656,466.918945313,421.142578125,421.905517578,547.790527344,348.663330078,93.841552734,472.259521484
,29.754638672,1519.775390625,1253.509521484,432.586669922,437.164306641,413.513183594,498.962402344,241.851806641,37.384033203,459.289550781
,29.754638672,1271.057128906,1023.101806641,348.663330078,395.202636719,352.478027344,401.306152344,96.130371094,-70.953369141,395.202636719
,29.754638672,1006.317138672,777.435302734,229.644775391,304.412841797,248.718261719,260.162353516,-70.953369141,-209.808349609,283.050537109
,29.754638672,746.154785156,536.346435547,98.419189453,179.290771484,121.307373047,87.738037109,-228.881835938,-352.478027344,135.803222656
,30.517578125,515.747070313,321.960449219,-19.836425781,38.909912109,-4.577636719,-86.975097656,-357.818603516,-477.600097656,-19.836425781
,31.280517578,328.063964844,146.484375000,-109.863281250,-84.686279297,-108.337402344,-235.748291016,-451.660156250,-571.441650391,-164.031982422
,32.043457031,186.920166016,13.732910156,-170.135498047,-179.290771484,-180.816650391,-345.611572266,-508.117675781,-634.765625000,-277.709960938
,32.043457031,87.738037109,-77.056884766,-204.467773438,-241.851806641,-225.830078125,-414.276123047,-540.161132813,-668.334960938,-354.766845703
,32.043457031,18.310546875,-139.617919922,-227.355957031,-269.317626953,-248.718261719,-447.845458984,-563.812255859,-680.541992188,-403.594970703
,31.280517578,-36.621093750,-189.971923828,-257.110595703,-280.761718750,-266.265869141,-468.444824219,-593.566894531,-688.171386719,-436.401367188
,31.280517578,-97.656250000,-242.614746094,-308.227539063,-296.783447266,-296.783447266,-491.333007813,-643.920898438,-708.770751953,-466.156005859
,30.517578125,-175.476074219,-313.568115234,-387.573242188,-335.693359375,-348.663330078,-527.954101563,-717.163085938,-753.021240234,-507.354736328
,30.517578125,-276.184082031,-403.594970703,-492.095947266,-410.461425781,-428.009033203,-589.752197266,-801.849365234,-827.026367188,-566.101074219
,32.043457031,-390.625000000,-502.777099609,-605.773925781,-515.747070313,-526.428222656,-669.097900391,-883.483886719,-912.475585938,-644.683837891
,33.569335938,-501.251220703,-595.855712891,-711.822509766,-631.713867188,-624.084472656,-754.547119141,-946.044921875,-991.058349609,-733.947753906
,36.621093750,-592.803955078,-671.386718750,-798.797607422,-738.525390625,-713.348388672,-831.604003906,-980.377197266,-1049.041748047,-817.871093750
,38.909912109,-653.839111328,-719.451904297,-859.069824219,-822.448730469,-781.250000000,-885.009765625,-988.006591797,-1072.692871094,-887.298583984
,41.198730469,-679.779052734,-734.710693359,-888.824462891,-877.380371094,-822.448730469,-904.083251953,-962.066650391,-1058.197021484,-926.971435547
,43.487548828,-658.416748047,-705.718994141,-876.617431641,-897.979736328,-827.026367188,-881.195068359,-894.165039063,-999.450683594,-931.549072266
,45.013427734,-585.937500000,-624.084472656,-815.582275391,-874.328613281,-782.012939453,-809.478759766,-788.116455078,-895.690917969,-894.927978516
,46.539306641,-461.578369141,-494.384765625,-708.770751953,-798.797607422,-689.697265625,-693.511962891,-653.076171875,-751.495361328,-808.715820313
,48.065185547,-300.598144531,-331.878662109,-571.441650391,-679.016113281,-558.471679688,-546.264648438,-505.065917969,-583.648681641,-684.356689453
,49.591064453,-128.173828125,-160.217285156,-426.483154297,-534.820556641,-411.224365234,-388.336181641,-361.633300781,-413.513183594,-536.346435547
,50.354003906,38.146972656,1.525878906,-288.391113281,-389.099121094,-270.843505859,-234.985351563,-228.118896484,-251.770019531,-384.521484375
,50.354003906,188.446044922,148.773193359,-160.980224609,-260.162353516,-144.195556641,-97.656250000,-96.893310547,-103.759765625,-247.192382813
,49.591064453,328.063964844,286.865234375,-36.621093750,-141.906738281,-28.991699219,28.991699219,31.280517578,32.043457031,-125.122070313
,50.354003906,462.341308594,418.853759766,86.212158203,-26.702880859,81.634521484,153.350830078,151.824951172,160.980224609,-9.155273438
,49.591064453,588.989257813,541.687011719,204.467773438,90.026855469,193.023681641,271.606445313,253.295898438,273.132324219,101.470947266
,49.591064453,696.563720703,645.446777344,303.649902344,202.178955078,296.020507813,381.469726563,322.723388672,358.581542969,209.808349609
,48.828125000,768.280029297,716.400146484,366.973876953,294.494628906,375.366210938,469.207763672,351.715087891,409.698486328,305.938720703
,47.302246094,796.508789063,743.865966797,387.573242188,351.715087891,420.379638672,522.613525391,337.982177734,424.957275391,371.551513672
,45.776367188,779.724121094,728.607177734,366.210937500,365.447998047,421.142578125,537.872314453,289.154052734,403.594970703,401.306152344
,44.250488281,725.555419922,676.727294922,307.464599609,342.559814453,382.995605469,515.747070313,210.571289063,347.900390625,391.387939453
,45.013427734,642.395019531,592.041015625,218.963623047,284.576416016,308.227539063,459.289550781,109.863281250,260.925292969,347.137451172
,47.302246094,534.820556641,485.229492188,107.574462891,198.364257813,206.756591797,374.603271484,-7.629394531,145.721435547,272.369384766
,48.828125000,407.409667969,358.581542969,-26.702880859,90.789794922,82.397460938,263.977050781,-144.195556641,11.444091797,173.187255859
,49.591064453,260.925292969,211.334228516,-178.527832031,-41.198730469,-61.798095703,128.173828125,-298.309326172,-134.277343750,51.116943359
,48.828125000,100.708007813,50.354003906,-346.374511719,-190.734863281,-220.489501953,-29.754638672,-470.733642578,-286.102294922,-93.841552734
