Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,48.065185547,60.272216797,-1164.245605469,-1272.583007813,-2809.143066406,-2045.440673828,-1931.762695313,-5043.029785156,-5778.503417969,-7096.099853516,-9044.647216797,-9680.175781250,-10379.028320313,-11229.705810547,-11190.032958984,-11333.465576172,-10997.772216797
,46.539306641,61.035156250,-1148.223876953,-1256.561279297,-2777.862548828,-2011.871337891,-1908.874511719,-5076.599121094,-5869.293212891,-7223.510742188,-9177.398681641,-9799.194335938,-10488.128662109,-11333.465576172,-11288.452148438,-11428.070068359,-11094.665527344
,45.776367188,62.561035156,-1132.202148438,-1241.302490234,-2746.582031250,-1981.353759766,-1886.749267578,-5111.694335938,-5963.897705078,-7354.736328125,-9309.387207031,-9918.975830078,-10595.703125000,-11434.936523438,-11385.345458984,-11521.148681641,-11190.032958984
,44.250488281,64.086914063,-1116.943359375,-1226.806640625,-2716.064453125,-1950.073242188,-1866.149902344,-5147.552490234,-6059.265136719,-7485.198974609,-9438.323974609,-10034.942626953,-10698.699951172,-11532.592773438,-11480.712890625,-11611.175537109,-11280.822753906
,44.250488281,65.612792969,-1102.447509766,-1210.784912109,-2685.546875000,-1918.792724609,-1845.550537109,-5180.358886719,-6152.343750000,-7607.269287109,-9563.446044922,-10147.094726563,-10800.170898438,-11627.960205078,-11572.265625000,-11699.676513672,-11367.797851563
,43.487548828,67.138671875,-1088.714599609,-1194.763183594,-2655.029296875,-1885.986328125,-1824.188232422,-5210.113525391,-6239.318847656,-7720.947265625,-9682.464599609,-10256.195068359,-10897.827148438,-11720.275878906,-11661.529541016,-11786.651611328,-11450.958251953
,43.487548828,68.664550781,-1074.218750000,-1178.741455078,-2625.274658203,-1853.179931641,-1802.062988281,-5236.816406250,-6317.901611328,-7822.418212891,-9798.431396484,-10361.480712891,-10994.720458984,-11812.591552734,-11749.267578125,-11873.626708984,-11535.644531250
,43.487548828,71.716308594,-1059.722900391,-1161.193847656,-2592.468261719,-1821.136474609,-1779.937744141,-5258.941650391,-6388.092041016,-7914.733886719,-9912.109375000,-10467.529296875,-11093.902587891,-11905.670166016,-11838.531494141,-11959.075927734,-11621.856689453
,42.724609375,74.768066406,-1044.464111328,-1144.409179688,-2560.424804688,-1791.381835938,-1757.812500000,-5275.726318359,-6449.127197266,-7998.657226563,-10023.498535156,-10573.577880859,-11191.558837891,-11997.222900391,-11930.084228516,-12044.525146484,-11709.594726563
,42.724609375,77.056884766,-1027.679443359,-1128.387451172,-2529.144287109,-1763.916015625,-1736.450195313,-5287.933349609,-6502.532958984,-8074.951171875,-10135.650634766,-10679.626464844,-11290.740966797,-12088.775634766,-12021.636962891,-12129.211425781,-11799.621582031
,41.961669922,78.582763672,-1012.420654297,-1112.365722656,-2499.389648438,-1740.264892578,-1716.613769531,-5294.799804688,-6549.835205078,-8143.615722656,-10246.276855469,-10787.200927734,-11389.923095703,-12178.802490234,-12114.715576172,-12214.660644531,-11888.885498047
,38.909912109,78.582763672,-998.687744141,-1098.632812500,-2470.397949219,-1718.139648438,-1696.777343750,-5297.851562500,-6588.745117188,-8203.887939453,-10355.377197266,-10894.775390625,-11489.105224609,-12268.066406250,-12209.320068359,-12303.161621094,-11978.912353516
,35.858154297,77.819824219,-985.717773438,-1083.374023438,-2442.169189453,-1698.303222656,-1678.466796875,-5297.088623047,-6620.788574219,-8254.241943359,-10464.477539063,-11002.349853516,-11592.102050781,-12361.145019531,-12303.924560547,-12397.003173828,-12071.990966797
